date,product,sales,month,quarter,season
2023-01-01,Laptop,86.56,1,Q1,Winter
2023-01-01,Phone,116.89,1,Q1,Winter
2023-01-01,Tablet,73.91,1,Q1,Winter
2023-01-01,Headphones,139.26,1,Q1,Winter
2023-01-01,Watch,132.28,1,Q1,Winter
2023-01-01,Camera,49.78,1,Q1,Winter
2023-01-02,Laptop,64.74,1,Q1,Winter
2023-01-02,Phone,53.33,1,Q1,Winter
2023-01-02,Tablet,66.94,1,Q1,Winter
2023-01-02,Headphones,67.72,1,Q1,Winter
2023-01-02,Watch,178.78,1,Q1,Winter
2023-01-02,Camera,46.56,1,Q1,Winter
2023-01-03,Laptop,72.4,1,Q1,Winter
2023-01-03,Phone,73.04,1,Q1,Winter
2023-01-03,Tablet,67.47,1,Q1,Winter
2023-01-03,Headphones,106.49,1,Q1,Winter
2023-01-03,Watch,129.04,1,Q1,Winter
2023-01-03,Camera,57.66,1,Q1,Winter
2023-01-04,Laptop,63.75,1,Q1,Winter
2023-01-04,Phone,68.06,1,Q1,Winter
2023-01-04,Tablet,93.53,1,Q1,Winter
2023-01-04,Headphones,94.68,1,Q1,Winter
2023-01-04,Watch,91.4,1,Q1,Winter
2023-01-04,Camera,65.04,1,Q1,Winter
2023-01-05,Laptop,67.87,1,Q1,Winter
2023-01-05,Phone,91.98,1,Q1,Winter
2023-01-05,Tablet,75.29,1,Q1,Winter
2023-01-05,Headphones,129.93,1,Q1,Winter
2023-01-05,Watch,113.41,1,Q1,Winter
2023-01-05,Camera,73.73,1,Q1,Winter
2023-01-06,Laptop,70.48,1,Q1,Winter
2023-01-06,Phone,58.12,1,Q1,Winter
2023-01-06,Tablet,106.56,1,Q1,Winter
2023-01-06,Headphones,108.6,1,Q1,Winter
2023-01-06,Watch,143.67,1,Q1,Winter
2023-01-06,Camera,79.72,1,Q1,Winter
2023-01-07,Laptop,95.07,1,Q1,Winter
2023-01-07,Phone,51.06,1,Q1,Winter
2023-01-07,Tablet,78.4,1,Q1,Winter
2023-01-07,Headphones,81.96,1,Q1,Winter
2023-01-07,Watch,137.42,1,Q1,Winter
2023-01-07,Camera,72.55,1,Q1,Winter
2023-01-08,Laptop,62.05,1,Q1,Winter
2023-01-08,Phone,109.76,1,Q1,Winter
2023-01-08,Tablet,76.66,1,Q1,Winter
2023-01-08,Headphones,111.63,1,Q1,Winter
2023-01-08,Watch,117.07,1,Q1,Winter
2023-01-08,Camera,40.66,1,Q1,Winter
2023-01-09,Laptop,87.35,1,Q1,Winter
2023-01-09,Phone,87.75,1,Q1,Winter
2023-01-09,Tablet,53.15,1,Q1,Winter
2023-01-09,Headphones,85.12,1,Q1,Winter
2023-01-09,Watch,139.52,1,Q1,Winter
2023-01-09,Camera,84.38,1,Q1,Winter
2023-01-10,Laptop,83.38,1,Q1,Winter
2023-01-10,Phone,55.2,1,Q1,Winter
2023-01-10,Tablet,105.6,1,Q1,Winter
2023-01-10,Headphones,99.17,1,Q1,Winter
2023-01-10,Watch,127.34,1,Q1,Winter
2023-01-10,Camera,81.23,1,Q1,Winter
2023-01-11,Laptop,83.56,1,Q1,Winter
2023-01-11,Phone,101.23,1,Q1,Winter
2023-01-11,Tablet,111.29,1,Q1,Winter
2023-01-11,Headphones,74.53,1,Q1,Winter
2023-01-11,Watch,137.76,1,Q1,Winter
2023-01-11,Camera,42.08,1,Q1,Winter
2023-01-12,Laptop,67.74,1,Q1,Winter
2023-01-12,Phone,88.95,1,Q1,Winter
2023-01-12,Tablet,64.25,1,Q1,Winter
2023-01-12,Headphones,103.96,1,Q1,Winter
2023-01-12,Watch,159.44,1,Q1,Winter
2023-01-12,Camera,42.56,1,Q1,Winter
